Year,Josh's IRA,Amy's IRA,CashNeeded,sdfadsfTotalRMD,sdfadsfAfterTaxRMD,BeforeTaxPortValue,AfterTaxPortValue,sdfadsf's Age,asdfasdf's Age,asdfasdfTotalRMD,asdfasdfAfterTaxRMD
Start,150000.0,10000.0,0.0,0,0.0,160000.0,159900.0,3,3,0.0,0.0
1928,225715.0,23091.9,0.0,0,0.0,248806.9,248575.981,4,4,0.0,0.0
1929,216980.655,28568.55001067416,0.0,0,0.0,245549.20501067417,245263.51951056742,5,5,0.0,0.0
1930,172475.11446399998,30409.401260526865,3090.6749999999993,0,0.0,202884.51572452683,202580.42171192158,6,6,0.0,0.0
1931,106862.02428298238,27266.190054088573,3137.035124999999,0,0.0,134128.21433707097,133855.55243653007,7,7,0.0,0.0
1932,107629.14538493271,32704.84591622774,3184.090651874999,0,0.0,140333.99130116045,140006.94284199819,8,8,0.0,0.0
1933,171422.19224832207,50643.69253764912,3231.8520116531236,0,0.0,222065.8847859712,221559.4478605947,9,9,0.0,0.0
1934,179382.26816056704,57690.15168840132,3280.3297918279195,0,0.0,237072.41984896836,236495.51833208435,10,10,0.0,0.0
1935,273225.54029881605,83541.67442972255,3329.534738705339,0,0.0,356767.2147285386,355931.7979842414,11,11,0.0,0.0
1936,370493.77787025785,109623.9361030667,3379.4777597859184,0,0.0,480117.7139733246,479021.4746122939,12,12,0.0,0.0
1937,249561.2767709087,89047.07452010344,3430.1699261827066,0,0.0,338608.35129101214,337717.88054581115,13,13,0.0,0.0
1938,332632.81860943075,114452.21306920065,3481.622475075447,0,0.0,447085.0316786314,445940.5095479394,14,14,0.0,0.0
1939,338973.85760472703,121054.96019580524,3533.8468122015784,0,0.0,460028.81780053227,458818.2681985742,15,15,0.0,0.0
1940,312805.3469983027,119883.82935810946,3586.8545143846018,0,0.0,432689.1763564121,431490.338062831,16,16,0.0,0.0
1941,282860.1041866194,114288.93223679715,3640.6573321003707,0,0.0,397149.0364234166,396006.14710104855,17,17,0.0,0.0
1942,347084.38615919434,136196.26362490276,3695.2671920818752,0,0.0,483280.6497840971,481918.6871478481,18,18,0.0,0.0
1943,444063.73333068844,166827.718905146,3750.6961999631035,0,0.0,610891.4522358344,609223.1750467829,19,19,0.0,0.0
1944,538569.0617835185,196000.4443200994,3806.9566429625493,0,0.0,734569.506103618,732609.501660417,20,20,0.0,0.0
